MF,CODIGO,DESCRIPCION,APLICACIÓN,PRECIO VENTA,CANTIDAD,NOTAS,TIPO REPUESTO,MARCA REPUESTO,MARCA AUTO,PRECIO
MF952,ZD1451,PASTILLAS TRASERAS 93M ZD1336,HONDA ACCORD 08-17 ACURA TSX 09-14,Q301.00,  3 ,3 JOEL,PASTILLAS,WAGNER,HONDA,
MF343,ZD409,PASTILLAS DELANTERAS 129M,"HONDA CIVIC 90-93 ACURA INTEGRA 90-93,",Q251.00,  1 ,1 MARTI,PASTILLAS,WAGNER,HONDA,
MF429,MX279,PASTILLAS TRASERAS 125M,"BMW 318i 91-92, 318is 1991, 325 86-88,",Q520.00,3,1 JOEL 1 DEISY,PASTILLAS,WAGNER,BMW,
MF787,MX920,PASTILLAS DELANTERAS 194M,BMW X5 4.6L 02-06 INGRESAR AL SISTEMA,Q350.00,2,2 JOEL SI ESTAN FISICO,PASTILLAS,WAGNER,BMW,
MF1002,MX1473,PASTILLAS TRASERAS 106M,"BMW X3 11-17, X4 15-18, 525i 528i 11-16, Z4 11-16,","Q1,330.00",1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF1007,MX1561,PASTILLAS DELANTERAS 149M SST-8772-MD1561-H-SM,"BMW X3 11-17,X4 15-17,228i 14-16, 228i xDRIVE",Q761.00,2,1 JOEL 1 MARTI,PASTILLAS,WAGNER,BMW,
,ZX1061,PASTILLAS DELANTERAS 154M,"BMW 325i 2006, 325xi 2006, 328i 2007, 328xi 2007,",Q553.00,4,3 JOEL 1 MARTI,PASTILLAS,WAGNER,BMW,
,ZX1170,PASTILLAS TRASERAS 177M,"BMW 330i 2006, 330xi 2006, 335d 09-11, 335i 07-13",Q336.00,3,3 JOEL,PASTILLAS,WAGNER,BMW,
,ZX1239,PASTILLAS TRASERAS 105M,"BMW 528i 97-00, 530i 540i 03",Q288.00,1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF900,ZX1294,PASTILLAS DELANTERAS 170M SST-8411-MD1294-H-SM,"BMW X4 17-18, X5 07-18, X6 08-19",Q763.00,3,1 JOEL 1 PETAPA 1 ZONA 9,PASTILLAS,WAGNER,BMW,
,ZX1381,PASTILLAS DELANTERAS 193M,"BMW X5 11-18, X6 08-19","Q1,132.00",2,2 JOEL,PASTILLAS,WAGNER,BMW,
,ZX253,PASTILLAS DELANTERAS 158M,BMW 528E 82-88 535i 85-88 M3 88-91,Q422.00,1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF981,ZX919,PASTILLAS TRASERAS 140M,"BMW X3 08-13, X5 07-18, X6 08-19 535i, GT 07-17",Q550.00,2,1 MARTI 1 ZONA16,PASTILLAS,WAGNER,BMW,
MF943,ZD1030,PASTILLAS TRASERAS 121M,CHEVROLET EPICA 04-06 SUZUKI VERONA 04-06,Q250.00,3,3 JOEL 2,PASTILLAS,WAGNER,CHEVROLET,
MF835,ZD1092,"PASTILLAS DELANTERAS 184M ZD1363, SST-8472-MD1363-H-S, SST-7997-MD1092-H-SM",CHEVROLET AVALANCHE YUKON SUBURRBAN 07-08,Q477.00,1,1 ZONA9,PASTILLAS,WAGNER,CHEVROLET,
MF763-MF937,ZD1169,PASTILLAS DELANTERAS 178M SST-8282-MD1169-H-SM,"CHEVROLET COLORADO 09-12, TRAILBLAZER 06-09",Q352.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF815,ZD1264,PASTILLAS DELANTERAS 149M SST-8381-MD1264-H-SM VER D864,"CHEVROLET CAPTIVA SPORT 12-15, EQUINOX 07-09",Q397.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF830,ZD1361,PASTILLAS DELANTERAS 156M,CHEVROLET ASTRA 98/03 ZAFIRA 01/03 SATURN,Q430.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF595,ZD750,PASTILLAS TRASERAS 121M,CHEVROLET CAMARO 98-02; PONTIAC FIREBIRD,Q386.00,1,1 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF600,ZD975,PASTILLAS TRASERAS 194M SST-7707-MD975-H-SMC,CHEVROLET AVALANCHE 1500 02-06,Q409.00,3,1 PETAPA 1 ZONA9 1 MARTI,PASTILLAS,WAGNER,CHEVROLET,
MF844,ZX1362,PASTILLAS TRASERAS 96M,"CHEVROLET ASTRA,OPEL ZAFIRA 01/06 RODADO 08/09",Q404.00,4,2 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF545,ZX215,PASTILLAS DELANTERAS 125M 143M DOS MEDIDAS,"CHEVROLET CELEBRITY 83-90, LUMINA APV 90-91",Q232.00,19,14 JOEL 4 SAN JUAN 1 ZONA9,PASTILLAS,WAGNER,CHEVROLET,
